province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season
Nghệ An,Bắc Trung Bộ,2025-12-06,21.10909090909091,23.527272727272727,19.027272727272727,22.754545454545454,24.818181818181817,20.599999999999998,3.1545454545454548,3.1545454545454548,0.0,10.090909090909092,85.9090909090909,16.10909090909091,31.6,10.316363636363636,1018.6272727272727,73.72727272727273,18.563636363636363,0.0,2.0636363636363635,18.6796,105.68129999999998,7.061818181818182,11.054545454545455,12,49,53,25,1970-01-21 10:16:41.776363636,1970-01-21 10:17:21.567272727,Đông
Nghệ An,Bắc Trung Bộ,2025-12-07,20.954545454545453,24.518181818181816,18.09090909090909,23.281818181818185,27.018181818181816,20.400000000000002,2.0818181818181816,2.0818181818181816,0.0,7.7272727272727275,89.0909090909091,16.78181818181818,32.89090909090909,13.368181818181819,1017.9181818181819,71.0909090909091,18.972727272727273,0.0,2.4263636363636363,18.6796,105.68129999999998,8.976363636363637,11.049999999999999,12,49,51,20,1970-01-21 10:18:08.214545454,1970-01-21 10:18:47.994545454,Đông
Nghệ An,Bắc Trung Bộ,2025-12-08,20.727272727272727,23.563636363636363,18.636363636363637,21.945454545454545,23.645454545454548,19.8,2.8000000000000003,2.8000000000000003,0.0,11.636363636363637,84.72727272727273,20.072727272727274,40.11818181818182,11.233636363636363,1019.5090909090909,67.0909090909091,17.945454545454545,0.0,2.2454545454545456,18.6796,105.68129999999998,8.373636363636363,11.042727272727273,12,50,53,23,1970-01-21 10:19:34.641818181,1970-01-21 10:20:14.416363636,Đông
Nghệ An,Bắc Trung Bộ,2025-12-09,20.063636363636363,22.881818181818183,17.8,21.418181818181818,23.672727272727272,18.972727272727273,1.7272727272727273,1.7272727272727273,0.0,8.454545454545455,85.0909090909091,13.7,28.94545454545454,9.827272727272726,1018.7545454545453,83.27272727272727,17.318181818181817,0.0,1.9645454545454546,18.6796,105.68129999999998,6.820909090909091,11.038181818181819,12,50,51,7,1970-01-21 10:21:01.080000000,1970-01-21 10:21:40.816363636,Đông
Nghệ An,Bắc Trung Bộ,2025-12-10,21.20909090909091,24.745454545454546,18.272727272727273,22.936363636363637,26.08181818181818,19.7,0.018181818181818184,0.018181818181818184,0.0,0.18181818181818182,83.9090909090909,13.481818181818182,27.181818181818183,11.451818181818181,1017.5818181818181,81.36363636363636,18.200000000000003,0.0,2.2899999999999996,18.6796,105.68129999999998,7.803636363636364,11.032727272727273,12,50,3,349,1970-01-21 10:22:27.523636363,1970-01-21 10:23:07.238181818,Đông
Nghệ An,Bắc Trung Bộ,2025-12-11,21.172727272727272,22.536363636363635,20.418181818181818,23.363636363636363,24.636363636363637,22.30909090909091,7.427272727272728,7.427272727272728,0.0,18.545454545454547,92.0,15.927272727272726,30.2,3.4990909090909095,1017.2727272727273,100.0,19.79090909090909,0.0,0.8663636363636363,18.6796,105.68129999999998,0.0,11.03,12,50,53,355,1970-01-21 10:23:53.956363636,1970-01-21 10:24:33.660000000,Đông
Nghệ An,Bắc Trung Bộ,2025-12-12,21.71818181818182,24.627272727272725,19.818181818181817,24.327272727272728,27.454545454545453,21.818181818181817,1.3636363636363635,1.3636363636363635,0.0,6.7272727272727275,87.9090909090909,11.227272727272727,21.69090909090909,7.755454545454546,1015.5545454545455,89.0909090909091,19.545454545454547,0.0,1.6318181818181818,18.6796,105.68129999999998,2.4036363636363633,11.024545454545454,12,50,51,341,1970-01-21 10:25:20.394545454,1970-01-21 10:26:00.076363636,Đông
Nghệ An,Bắc Trung Bộ,2025-12-13,21.845454545454547,25.1,19.40909090909091,24.40909090909091,28.5,19.081818181818182,28.981818181818184,28.981818181818184,0.0,16.0,93.72727272727273,29.763636363636362,54.88181818181818,6.917272727272728,1016.9363636363636,94.9090909090909,20.763636363636365,0.0,1.3927272727272728,18.6796,105.68129999999998,2.6990909090909088,11.02090909090909,12,50,63,24,1970-01-21 10:26:46.821818181,1970-01-21 10:27:26.487272727,Đông
Nghệ An,Bắc Trung Bộ,2025-12-14,17.509090909090908,19.336363636363636,16.354545454545455,16.827272727272728,18.963636363636365,15.409090909090908,16.827272727272728,16.827272727272728,0.0,16.545454545454547,85.9090909090909,24.981818181818184,44.29090909090909,4.083636363636364,1021.6363636363636,99.36363636363636,15.063636363636363,0.0,1.1272727272727272,18.6796,105.68129999999998,0.0,11.018181818181818,12,50,63,5,1970-01-21 10:28:13.254545454,1970-01-21 10:28:52.920000000,Đông
Nghệ An,Bắc Trung Bộ,2025-12-15,18.927272727272726,21.645454545454545,16.472727272727273,19.181818181818183,22.20909090909091,15.963636363636363,0.0818181818181818,0.0818181818181818,0.0,0.8181818181818182,77.0909090909091,13.136363636363637,26.345454545454547,7.81,1019.3454545454545,97.54545454545455,14.727272727272727,0.0,1.8318181818181818,18.6796,105.68129999999998,1.5045454545454546,11.016363636363636,12,51,3,330,1970-01-21 10:29:39.681818181,1970-01-21 10:30:19.336363636,Đông
